x,y,feasible,TAC_hi,eff_TAC,reason
115,1600.0,False,nan,5001.69,solver-level: PSA/Mem CAPEX ペナルティ発火
115,1650.0,True,1054.82,1054.82,
115,1700.0,True,1057.45,1057.45,
115,1750.0,True,1063.46,1063.46,
115,1800.0,True,1070.22,1070.22,
115,1850.0,True,1094.78,1094.78,
115,1900.0,True,1095.42,1095.42,
122,1600.0,False,nan,5001.69,solver-level: PSA/Mem CAPEX ペナルティ発火
122,1650.0,True,1054.40,1054.40,
122,1700.0,True,1056.90,1056.90,
122,1750.0,True,1061.61,1061.61,
122,1800.0,True,1068.02,1068.02,
122,1850.0,True,1090.91,1090.91,
122,1900.0,True,1091.43,1091.43,
130,1600.0,False,nan,5001.69,solver-level: PSA/Mem CAPEX ペナルティ発火
130,1650.0,True,1059.49,1059.49,
130,1700.0,True,1060.90,1060.90,
130,1750.0,True,1065.46,1065.46,
130,1800.0,True,1070.67,1070.67,
130,1850.0,True,1092.27,1092.27,
130,1900.0,True,1092.24,1092.24,
138,1600.0,False,nan,5001.69,solver-level: PSA/Mem CAPEX ペナルティ発火
138,1650.0,True,1066.00,1066.00,
138,1700.0,True,1066.54,1066.54,
138,1750.0,True,1071.12,1071.12,
138,1800.0,True,1075.36,1075.36,
138,1850.0,True,1096.72,1096.72,
138,1900.0,True,1096.21,1096.21,
145,1600.0,False,nan,5001.69,solver-level: PSA/Mem CAPEX ペナルティ発火
145,1650.0,True,1072.63,1072.63,
145,1700.0,True,1074.02,1074.02,
145,1750.0,True,1077.95,1077.95,
145,1800.0,True,1082.00,1082.00,
145,1850.0,True,1103.12,1103.12,
145,1900.0,True,1101.97,1101.97,
152,1600.0,False,nan,5001.69,solver-level: PSA/Mem CAPEX ペナルティ発火
152,1650.0,True,1079.20,1079.20,
152,1700.0,True,1080.06,1080.06,
152,1750.0,True,1083.56,1083.56,
152,1800.0,True,1088.61,1088.61,
152,1850.0,True,1109.21,1109.21,
152,1900.0,True,1108.59,1108.59,
160,1600.0,False,nan,5001.69,solver-level: PSA/Mem CAPEX ペナルティ発火
160,1650.0,True,1085.71,1085.71,
160,1700.0,True,1086.29,1086.29,
160,1750.0,True,1090.92,1090.92,
160,1800.0,True,1095.70,1095.70,
160,1850.0,True,1116.34,1116.34,
160,1900.0,True,1115.98,1115.98,
